segment,antecedent,consequent,antecedent_dept,consequent_dept,lift,confidence,support,gross_margin_used,recommended_discount_percent,estimated_revenue_per_recommendation,rule_source,recommendation_type
Sleeping,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",dairy eggs,produce,31.84,0.529,0.0068,0.484,1.78,372.76,cross_department_pairs,cross_department
Sleeping,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",produce,dairy eggs,31.84,0.409,0.0068,0.47,1.78,362.33,cross_department_pairs,cross_department
Sleeping,Blueberry Beet & Brown Rice Cakes,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",babies,personal care,38.22,0.135,0.003,0.365,1.78,339.31,cross_department_pairs,cross_department
Sleeping,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",Blueberry Beet & Brown Rice Cakes,personal care,babies,38.22,0.857,0.003,0.364,1.78,339.01,cross_department_pairs,cross_department
Sleeping,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,dairy eggs,babies,27.31,0.392,0.005,0.51,1.78,335.28,cross_department_pairs,cross_department
Sleeping,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,produce,babies,35.1,0.451,0.0058,0.375,1.78,320.08,cross_department_pairs,cross_department
Sleeping,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",babies,produce,35.1,0.451,0.0058,0.375,1.78,319.24,cross_department_pairs,cross_department
Sleeping,Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",babies,dairy eggs,27.31,0.351,0.005,0.451,1.78,296.41,cross_department_pairs,cross_department
Sleeping,"Blueberry Beet & Brown Rice Cakes, Organic Whole Grain Oatmeal Cereal Baby Food",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,1.78,282.96,cross_department_pairs,cross_department
Sleeping,"Blueberry Beet & Brown Rice Cakes, Honest Face, Hand, & Baby Wipes",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,1.78,282.96,cross_department_pairs,cross_department
Loyal,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",dairy eggs,produce,31.84,0.529,0.0068,0.484,0.51,372.76,cross_department_pairs,cross_department
Loyal,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",produce,dairy eggs,31.84,0.409,0.0068,0.47,0.51,362.33,cross_department_pairs,cross_department
Loyal,Blueberry Beet & Brown Rice Cakes,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",babies,personal care,38.22,0.135,0.003,0.365,0.51,339.31,cross_department_pairs,cross_department
Loyal,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",Blueberry Beet & Brown Rice Cakes,personal care,babies,38.22,0.857,0.003,0.364,0.51,339.01,cross_department_pairs,cross_department
Loyal,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,dairy eggs,babies,27.31,0.392,0.005,0.51,0.51,335.28,cross_department_pairs,cross_department
Loyal,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,produce,babies,35.1,0.451,0.0058,0.375,0.51,320.08,cross_department_pairs,cross_department
Loyal,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",babies,produce,35.1,0.451,0.0058,0.375,0.51,319.24,cross_department_pairs,cross_department
Loyal,Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",babies,dairy eggs,27.31,0.351,0.005,0.451,0.51,296.41,cross_department_pairs,cross_department
Loyal,"Blueberry Beet & Brown Rice Cakes, Organic Whole Grain Oatmeal Cereal Baby Food",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.51,282.96,cross_department_pairs,cross_department
Loyal,"Blueberry Beet & Brown Rice Cakes, Honest Face, Hand, & Baby Wipes",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.51,282.96,cross_department_pairs,cross_department
New,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",dairy eggs,produce,31.84,0.529,0.0068,0.484,0.0,372.76,cross_department_pairs,cross_department
New,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",produce,dairy eggs,31.84,0.409,0.0068,0.47,0.0,362.33,cross_department_pairs,cross_department
New,Blueberry Beet & Brown Rice Cakes,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",babies,personal care,38.22,0.135,0.003,0.365,0.0,339.31,cross_department_pairs,cross_department
New,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",Blueberry Beet & Brown Rice Cakes,personal care,babies,38.22,0.857,0.003,0.364,0.0,339.01,cross_department_pairs,cross_department
New,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,dairy eggs,babies,27.31,0.392,0.005,0.51,0.0,335.28,cross_department_pairs,cross_department
New,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,produce,babies,35.1,0.451,0.0058,0.375,0.0,320.08,cross_department_pairs,cross_department
New,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",babies,produce,35.1,0.451,0.0058,0.375,0.0,319.24,cross_department_pairs,cross_department
New,Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",babies,dairy eggs,27.31,0.351,0.005,0.451,0.0,296.41,cross_department_pairs,cross_department
New,"Blueberry Beet & Brown Rice Cakes, Organic Whole Grain Oatmeal Cereal Baby Food",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.0,282.96,cross_department_pairs,cross_department
New,"Blueberry Beet & Brown Rice Cakes, Honest Face, Hand, & Baby Wipes",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.0,282.96,cross_department_pairs,cross_department
Premium,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",dairy eggs,produce,31.84,0.529,0.0068,0.484,0.0,372.76,cross_department_pairs,cross_department
Premium,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",produce,dairy eggs,31.84,0.409,0.0068,0.47,0.0,362.33,cross_department_pairs,cross_department
Premium,Blueberry Beet & Brown Rice Cakes,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",babies,personal care,38.22,0.135,0.003,0.365,0.0,339.31,cross_department_pairs,cross_department
Premium,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",Blueberry Beet & Brown Rice Cakes,personal care,babies,38.22,0.857,0.003,0.364,0.0,339.01,cross_department_pairs,cross_department
Premium,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,dairy eggs,babies,27.31,0.392,0.005,0.51,0.0,335.28,cross_department_pairs,cross_department
Premium,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,produce,babies,35.1,0.451,0.0058,0.375,0.0,320.08,cross_department_pairs,cross_department
Premium,Organic Fiber & Protein Pear Blueberry & Spinach Baby Food,"Fiber & Protein Organic Pears, Raspberries, Butternut Squash & Carrots Snack",babies,produce,35.1,0.451,0.0058,0.375,0.0,319.24,cross_department_pairs,cross_department
Premium,Mighty 4 Purple Carrot Blackberry Quinoa & Greek Yogurt Tots Snack,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",babies,dairy eggs,27.31,0.351,0.005,0.451,0.0,296.41,cross_department_pairs,cross_department
Premium,"Blueberry Beet & Brown Rice Cakes, Organic Whole Grain Oatmeal Cereal Baby Food",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.0,282.96,cross_department_pairs,cross_department
Premium,"Blueberry Beet & Brown Rice Cakes, Honest Face, Hand, & Baby Wipes",Simply White Natural Clean Mint Fluoride Toothpaste,babies,personal care,34.71,0.857,0.003,0.336,0.0,282.96,cross_department_pairs,cross_department
Lost,"Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack","Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack",dairy eggs,produce,31.84,0.529,0.0068,0.484,15.0,372.76,cross_department_pairs,cross_department
Lost,"Mighty 4 Sweet Potato, Blueberry, Millet & Greek Yogurt Tots Snack","Mighty 4 Kale, Strawberry, Amaranth & Greek Yogurt Tots Snack",produce,dairy eggs,31.84,0.409,0.0068,0.47,15.0,362.33,cross_department_pairs,cross_department
Lost,Blueberry Beet & Brown Rice Cakes,"Honest Face, Hand, & Baby Wipes, Simply White Natural Clean Mint Fluoride Toothpaste",babies,personal care,38.22,0.135,0.003,0.365,15.0,339.31,cross_department_pairs,cross_department
