antecedent,consequent,support,confidence,lift,department
Organic Cucumber,Organic Baby Spinach,0.006806666666666667,0.18953035084462597,1.663519755804207,produce
Organic Cucumber,Organic Hass Avocado,0.0071,0.1976981622424355,2.1642624679875437,produce
Organic Cucumber,Bag of Organic Bananas,0.00828,0.2305550399108966,1.4499101117991988,produce
Organic Cucumber,Organic Strawberries,0.00726,0.20215333209578615,1.6421879130445667,produce
Organic Baby Carrots,Organic Baby Spinach,0.0057666666666666665,0.16363980325387817,1.436276798600452,produce
Organic Baby Carrots,Organic Strawberries,0.006226666666666667,0.17669315172152858,1.4353627272260647,produce
Apple Honeycrisp Organic,Bag of Organic Bananas,0.007846666666666667,0.2481028667790894,1.5602645487532874,produce
Apple Honeycrisp Organic,Organic Strawberries,0.005806666666666667,0.18360033726812816,1.491473089099335,produce
Apple Honeycrisp Organic,Organic Hass Avocado,0.005093333333333333,0.16104553119730186,1.7630148649536765,produce
Organic Granny Smith Apple,Organic Strawberries,0.00406,0.16940194714881782,1.3761327956849538,produce
Organic Granny Smith Apple,Organic Baby Spinach,0.00388,0.1618915159944367,1.4209319718645703,produce
Organic Granny Smith Apple,Bag of Organic Bananas,0.005173333333333334,0.21585535465924896,1.3574670132017166,produce
Large Lemon,Limes,0.01274,0.1808631459398069,2.7293231278642893,produce
Limes,Large Lemon,0.01274,0.19225352112676056,2.7293231278642893,produce
Limes,Organic Avocado,0.010713333333333333,0.16167002012072434,1.848925207236097,produce
"Banana, Large Lemon",Limes,0.0032866666666666665,0.1834077380952381,2.767722405863754,produce
"Banana, Limes",Large Lemon,0.0032866666666666665,0.22429481346678795,3.1841966704541163,produce
"Banana, Limes",Organic Avocado,0.003586666666666667,0.24476797088262056,2.799267736535002,produce
"Limes, Organic Avocado",Banana,0.003586666666666667,0.33478531425015556,1.5128120842754431,produce
Organic Baby Arugula,Organic Baby Spinach,0.006146666666666667,0.17356927710843376,1.5234284123033976,produce
Organic Baby Arugula,Organic Hass Avocado,0.005393333333333333,0.15229668674698796,1.6672385791890376,produce
Red Onion,Limes,0.0036533333333333335,0.15367358384744811,2.3190178649011286,produce
Organic Ginger Root,Limes,0.003513333333333333,0.15044247787610618,2.270258720464379,produce
Organic Ginger Root,Organic Baby Spinach,0.004913333333333333,0.21039109334855835,1.8466157988463285,produce
Organic Ginger Root,Organic Garlic,0.00474,0.20296888381387385,4.0762260773973855,produce
Organic Ginger Root,Organic Hass Avocado,0.0035466666666666667,0.15186982586354553,1.6625656020677146,produce
Organic Hass Avocado,Organic Strawberries,0.01774,0.1942052255145234,1.5776216532455192,produce
Organic Hass Avocado,Bag of Organic Bananas,0.023906666666666666,0.2617136184498613,1.6458595827385205,produce
Bag of Organic Bananas,Organic Hass Avocado,0.023906666666666666,0.15034378668455475,1.6458595827385207,produce
Organic Hass Avocado,Organic Baby Spinach,0.01512,0.16552328127280688,1.452808203096608,produce
"Bag of Organic Bananas, Organic Hass Avocado",Organic Strawberries,0.00604,0.2526491912994981,2.0523898562103824,produce
"Organic Hass Avocado, Organic Strawberries",Bag of Organic Bananas,0.00604,0.34047350620067646,2.141163253819448,produce
"Bag of Organic Bananas, Organic Strawberries",Organic Hass Avocado,0.00604,0.22936708860759494,2.510951926079349,produce
"Banana, Organic Hass Avocado",Organic Strawberries,0.0032066666666666667,0.23647984267453295,1.9210385270067665,produce
