antecedent,consequent,support,confidence,lift,segment
Cucumber Kirby,Banana,0.0181,0.3307748538011696,1.5164115610010986,Sleeping
Cucumber Kirby,Organic Avocado,0.0091,0.16630116959064328,1.8698130154108756,Sleeping
Cucumber Kirby,Organic Baby Spinach,0.00949,0.17342836257309943,1.5183712359753059,Sleeping
Boneless Skinless Chicken Breasts,Banana,0.00753,0.2857685009487666,1.310083440832378,Sleeping
Fresh Cauliflower,Organic Baby Spinach,0.00628,0.1853053998229566,1.6223551026348852,Sleeping
Michigan Organic Kale,Organic Avocado,0.0055,0.15745777268823358,1.7703819731080905,Sleeping
Michigan Organic Kale,Organic Baby Spinach,0.00726,0.20784425994846834,1.8196835926148514,Sleeping
Asparagus,Organic Baby Spinach,0.00529,0.176686706746827,1.5468981504712571,Sleeping
Red Peppers,Banana,0.00846,0.2984126984126984,1.3680497795475104,Sleeping
Large Lemon,Organic Avocado,0.0122,0.15811301192327631,1.7777491783593018,Sleeping
Large Lemon,Organic Baby Spinach,0.0121,0.1568170036288232,1.37293822122941,Sleeping
Yellow Onions,Banana,0.01237,0.302371058420924,1.3861965727819374,Sleeping
Yellow Onions,Large Lemon,0.00618,0.1510633097042288,1.9577930236421563,Sleeping
Organic Strawberries,Organic Baby Spinach,0.01662,0.1561736515692539,1.3673056519808604,Sleeping
Organic Strawberries,Bag of Organic Bananas,0.02023,0.1900958466453674,1.3918278418902283,Sleeping
Organic Raspberries,Organic Strawberries,0.01017,0.22559893522626442,2.1198922686174066,Sleeping
Organic Raspberries,Organic Hass Avocado,0.00816,0.18101153504880213,2.229206096660125,Sleeping
Organic Raspberries,Bag of Organic Bananas,0.01102,0.24445430346051464,1.7898250363194803,Sleeping
Organic Grape Tomatoes,Organic Strawberries,0.00639,0.1667971808927173,1.5673480632655263,Sleeping
Organic Grape Tomatoes,Organic Baby Spinach,0.00777,0.20281910728269384,1.7756882094440014,Sleeping
Organic Grape Tomatoes,Organic Avocado,0.00663,0.173061863743148,1.9458271165184167,Sleeping
Organic Blackberries,Organic Strawberries,0.00508,0.19220582671206965,1.806106246119805,Sleeping
Organic Avocado,Banana,0.02779,0.31245783674387223,1.4324386225822778,Sleeping
Organic Avocado,Organic Baby Spinach,0.01705,0.19170227119406338,1.6783599299077516,Sleeping
"Banana, Organic Baby Spinach",Organic Avocado,0.00605,0.2290798939795532,2.575667798285959,Sleeping
"Banana, Organic Avocado",Organic Baby Spinach,0.00605,0.21770421014753508,1.9060077932720634,Sleeping
"Organic Avocado, Organic Baby Spinach",Banana,0.00605,0.3548387096774194,1.6267304344996991,Sleeping
Red Vine Tomato,Banana,0.00766,0.2863551401869159,1.312772842740182,Sleeping
Large Lemon,Limes,0.01421,0.1841627786417833,2.697170161713288,Sleeping
Limes,Large Lemon,0.01421,0.20811364967779733,2.697170161713288,Sleeping
Limes,Organic Avocado,0.01238,0.1813122437024019,2.0385905520845724,Sleeping
Blueberries,Banana,0.00849,0.3159657610718273,1.4485204285143138,Sleeping
Bunched Cilantro,Limes,0.00714,0.2894203486015403,4.2387280111531975,Sleeping
