antecedent,consequent,support,confidence,lift
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.00518813259190191,0.3580386966660364,23.641802738383475
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.00518813259190191,0.3425797503467406,23.641802738383475
Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.007658454482606833,0.5056986070071761,23.578431721279575
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.007658454482606833,0.3570789865871833,23.57843172127957
Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.006525120114264944,0.3042367468596977,20.995710189362963
Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.006525120114264944,0.45030566584735615,20.99571018936296
Sparkling Lemon Water,Lime Sparkling Water,0.0061379051487718255,0.31269191402251795,10.815849043268255
Sparkling Lemon Water,Sparkling Water Grapefruit,0.0066191841271087916,0.33721038429329114,7.298053831223826
Lime Sparkling Water,Sparkling Water Grapefruit,0.009469415040561681,0.3275420917964431,7.088808439075272
Bunched Cilantro,Limes,0.010332429527332902,0.3302007938360962,3.211211224641475
Jalapeno Peppers,Limes,0.009649323880661078,0.31139665792343285,3.0283405185752694
"Bag of Organic Bananas, Organic Lemon",Organic Hass Avocado,0.007006399092601911,0.36913010007698227,2.4363311942701533
Organic Yellow Peaches,Organic Strawberries,0.006084023821026321,0.38759599720735394,2.166466206980268
"Bag of Organic Bananas, Organic Cucumber",Organic Hass Avocado,0.005928772537691815,0.3201814953639771,2.113260784803619
"Organic Hass Avocado, Organic Raspberries",Bag of Organic Bananas,0.010055716945860224,0.4569827765096493,2.066555229599775
"Organic Hass Avocado, Organic Large Extra Fancy Fuji Apple",Bag of Organic Bananas,0.005104114250332649,0.44855537720706257,2.0284450709769404
"Apple Honeycrisp Organic, Organic Hass Avocado",Bag of Organic Bananas,0.005869411752887446,0.4428138349180102,2.0024808227528963
