antecedent,consequent,support,confidence,lift
Organic Peeled Whole Baby Carrots,Banana,0.00579,0.2640218878248974,1.4242583294667424
Organic Baby Carrots,Bag of Organic Bananas,0.00569,0.1936362089501446,1.4410136480010762
Organic Baby Carrots,Organic Baby Spinach,0.00506,0.17219669899608644,1.8412820679649962
Organic Baby Carrots,Organic Strawberries,0.005225,0.1778118087459588,1.7131057251886779
Organic Tomato Cluster,Bag of Organic Bananas,0.00517,0.21197211972119723,1.5774669374600725
Organic Baby Spinach,Bag of Organic Bananas,0.018,0.1924721984602224,1.4323512443551434
Organic Baby Spinach,Organic Strawberries,0.01466,0.15675791274593667,1.5102645864052862
Organic Garlic,Organic Baby Spinach,0.00799,0.19250692687628,2.058457301927716
Organic Garlic,Limes,0.00623,0.15010239730152994,2.7261605031153278
Organic Garlic,Organic Hass Avocado,0.00683,0.16455848692928562,2.112432438116632
Organic Yellow Onion,Organic Garlic,0.00808,0.19533421975099724,4.70628164681357
Organic Garlic,Organic Yellow Onion,0.00808,0.19467534032044334,4.70628164681357
Organic Yellow Onion,Organic Baby Spinach,0.007165,0.1732140698658286,1.852160712851033
Organic Yellow Onion,Bag of Organic Bananas,0.008035,0.1942463435271365,1.4455541843879924
Organic Yellow Onion,Organic Hass Avocado,0.00685,0.16559893629880335,2.12578865595383
Organic Yellow Onion,Organic Strawberries,0.00639,0.15447842378822677,1.4883031339489066
Organic Fuji Apple,Banana,0.012665,0.370592538405267,1.9991505780459446
Honeycrisp Apple,Banana,0.01087,0.35098482402324827,1.8933773379541374
Strawberries,Banana,0.015695,0.28180267528503455,1.520176265866673
Organic Strawberries,Bag of Organic Bananas,0.02191,0.21108916614480466,1.5708961201473837
Bag of Organic Bananas,Organic Strawberries,0.02191,0.16305116279069767,1.5708961201473834
Organic Avocado,Organic Baby Spinach,0.01258,0.17305179173258134,1.850425489013915
Organic Avocado,Banana,0.02142,0.2946557534906115,1.5895118192345867
Red Vine Tomato,Banana,0.00585,0.2703327171903882,1.458301913366895
Broccoli Crown,Banana,0.00531,0.3223065250379362,1.7386730952821912
Organic Hass Avocado,Bag of Organic Bananas,0.02047,0.26277278562259304,1.9555184046332506
Bag of Organic Bananas,Organic Hass Avocado,0.02047,0.15233488372093024,1.9555184046332508
Organic Hass Avocado,Organic Baby Spinach,0.012885,0.1654043645699615,1.7686523157609226
Organic Hass Avocado,Organic Strawberries,0.015505,0.19903722721437742,1.9175993758309882
"Organic Hass Avocado, Organic Strawberries",Bag of Organic Bananas,0.005075,0.32731376975169296,2.4358234028032966
"Bag of Organic Bananas, Organic Hass Avocado",Organic Strawberries,0.005075,0.247923790913532,2.3885908850477575
"Bag of Organic Bananas, Organic Strawberries",Organic Hass Avocado,0.005075,0.231629392971246,2.973419678706624
Organic Blueberries,Bag of Organic Bananas,0.00849,0.21093167701863352,1.569724108045645
Organic Blueberries,Organic Strawberries,0.009875,0.2453416149068323,2.36371323191707
Blueberries,Banana,0.007025,0.30150214592274677,1.6264444823883843
