segment,scenario,net_impact_eur,roi
Sleeping,conservative,1156595.64,29.4
Loyal,conservative,2111512.85,104.57
New,conservative,204677.32,N/A
Premium,conservative,7891039.32,N/A
Lost,conservative,485380.56,2.61
High_Check,conservative,342190.89,N/A
Frugal,conservative,87462.16,12.09
Promising,conservative,172623.58,1.72
Sleeping,baseline,1499868.62,26.97
Loyal,baseline,2744021.19,96.15
New,baseline,266209.45,N/A
Premium,baseline,10263322.12,N/A
Lost,baseline,610332.81,2.32
High_Check,baseline,445063.72,N/A
Frugal,baseline,112940.68,11.05
Promising,baseline,213213.22,1.5
Sleeping,optimistic,1948869.39,27.02
Loyal,optimistic,3565316.97,96.31
New,optimistic,345881.08,N/A
Premium,optimistic,13334947.31,N/A
Lost,optimistic,793549.61,2.33
High_Check,optimistic,578263.17,N/A
Frugal,optimistic,146763.36,11.07
Promising,optimistic,277323.48,1.51
