rank,product_id,product_name,nb_purchases
1,24852,Banana,472565
2,13176,Bag of Organic Bananas,379450
3,21137,Organic Strawberries,264683
4,21903,Organic Baby Spinach,241921
5,47209,Organic Hass Avocado,213584
6,47766,Organic Avocado,176815
7,47626,Large Lemon,152657
8,16797,Strawberries,142951
9,26209,Limes,140627
10,27845,Organic Whole Milk,137905
11,27966,Organic Raspberries,137057
12,22935,Organic Yellow Onion,113426
13,24964,Organic Garlic,109778
14,45007,Organic Zucchini,104823
15,39275,Organic Blueberries,100060
16,49683,Cucumber Kirby,97315
17,28204,Organic Fuji Apple,89632
18,5876,Organic Lemon,87746
19,8277,Apple Honeycrisp Organic,85020
20,40706,Organic Grape Tomatoes,84255
21,4920,Seedless Red Grapes,82689
22,30391,Organic Cucumber,80392
23,45066,Honeycrisp Apple,79769
24,42265,Organic Baby Carrots,76896
25,49235,Organic Half & Half,76360
26,44632,Sparkling Water Grapefruit,75886
27,19057,Organic Large Extra Fancy Fuji Apple,75165
28,4605,Yellow Onions,73167
29,37646,Organic Gala Apples,72846
30,21616,Organic Baby Arugula,72829
31,17794,Carrots,72736
32,27104,Fresh Cauliflower,71584
33,30489,Original Hummus,71314
34,31717,Organic Cilantro,69524
35,27086,Half & Half,69217
36,44359,Organic Small Bunch Celery,68091
37,28985,Michigan Organic Kale,67449
38,46979,Asparagus,67283
39,8518,Organic Red Onion,66986
40,41950,Organic Tomato Cluster,64289
41,26604,Organic Blackberries,61746
42,5077,100% Whole Wheat Bread,60816
43,34126,Organic Italian Parsley Bunch,60621
44,22035,Organic Whole String Cheese,59676
45,39877,Organic Granny Smith Apple,58779
46,35951,Organic Unsweetened Almond Milk,57895
47,43352,Raspberries,57640
48,10749,Organic Red Bell Pepper,57485
49,19660,Spring Water,56087
50,9076,Blueberries,55946
51,21938,Green Bell Pepper,55484
52,43961,Organic Peeled Whole Baby Carrots,55371
53,24184,Red Peppers,55280
54,34969,Red Vine Tomato,54409
55,46667,Organic Ginger Root,52087
56,48679,Organic Garnet Sweet Potato (Yam),51939
57,25890,Boneless Skinless Chicken Breasts,50281
58,31506,Extra Virgin Olive Oil,50255
59,12341,Hass Avocados,50221
60,39928,Organic Kiwi,50141
61,24838,Unsweetened Almondmilk,49569
62,5450,Small Hass Avocado,49021
63,22825,Organic D'Anjou Pears,48915
64,5785,Organic Reduced Fat 2% Milk,47839
65,35221,Lime Sparkling Water,46546
66,28842,Bunched Cilantro,45530
67,33731,Grated Parmesan,45238
68,27521,Organic Lacinato (Dinosaur) Kale,43067
69,44142,Red Onion,43009
70,33198,Sparkling Natural Mineral Water,42934
71,8174,Organic Navel Orange,42721
72,20114,Jalapeno Peppers,42561
73,8424,Broccoli Crown,42044
74,27344,Uncured Genoa Salami,41473
75,11520,Large Alfresco Eggs,40376
76,29487,Roma Tomato,40212
77,18465,Organic Grade A Free Range Large Brown Eggs,40045
78,28199,"Clementines, Bag",39825
79,15290,Orange Bell Pepper,39188
80,46906,Grape White/Green Seedless,38971
81,9839,Organic Broccoli,38720
82,27156,Organic Black Beans,38001
83,3957,100% Raw Coconut Water,37973
84,43122,Organic Bartlett Pear,37706
85,23909,2% Reduced Fat Milk,37091
86,34358,Garlic,36617
87,4799,Shredded Parmesan,36365
88,9387,Granny Smith Apples,36187
89,16759,Organic Carrot Bunch,35820
90,196,Soda,35791
91,42736,Unsalted Butter,35667
92,38689,Organic Reduced Fat Milk,35663
93,4210,Whole Milk,35633
94,41787,Bartlett Pears,35413
95,41220,Organic Romaine Lettuce,34874
96,47144,Unsweetened Original Almond Breeze Almond Milk,34583
97,7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,34209
98,33000,Pure Irish Butter,33908
99,20995,Organic Broccoli Florets,32887
100,21709,Sparkling Lemon Water,32788
101,19678,Organic Russet Potato,32534
102,40604,Feta Cheese Crumbles,32351
103,30233,Organic Large Brown Grade AA Cage Free Eggs,32105
104,34243,Organic Baby Broccoli,31792
105,37687,Organic Spring Mix,31768
106,24489,Organic Whole Strawberries,31445
107,42828,Whipped Cream Cheese,31192
108,5479,Italian Sparkling Mineral Water,30937
109,432,Vanilla Almond Breeze Almond Milk,30935
110,6184,Clementines,30843
111,16185,Sharp Cheddar Cheese,30170
